HourlyDryBulbTemperature,HourlySeaLevelPressure,HourlyStationPressure
42.83585095669688,30.040094086021508,28.435236656596174
47.70951792336218,30.065156017830613,28.458175092478424
49.126506024096386,30.023310901749664,28.4173309178744
57.48218829516539,29.993986111111113,28.41611181702668
63.745327102803735,29.99255376344086,28.429614485981308
68.42789034564959,29.853125,28.303671036948746
74.49545913218971,29.963642473118277,28.42002026342452
73.18163869693979,29.948315363881402,28.401816386969397
68.03362255965293,30.02122392211405,28.46322860238353
57.11778290993072,30.003620457604306,28.42245958429561
46.87163029525032,30.13002777777778,28.51801282051282
42.63986784140969,30.128387096774194,28.482228381374725
